Number of comments for stocks a month ago and today
Ticker, Comments a month ago, Comments today
GME, 570, 49
TSLA, 100, 81
BABA, 52, 14
AMC, 26, 8
AMD, 23, 28
QQQ, 17, 25
NVDA, 11, 27
AAPL, 11, 15
EV, 10, 7
FB, 9, 47
BBBY, 6, 12
UK, 5, 6
